mode,feature_name,covariate_name,lag,known_future,known_future_provenance,selection_rank,relevance,max_redundancy,target_history_redundancy,final_score
fast_mode,x_station_758_lag4,station_758,4,False,,1,0.7083333333333334,0.0,0.18055555555555555,0.5804398148148149
fast_mode,x_station_71_lag5,station_71,5,False,,2,0.875,0.09663536776212832,0.3958333333333333,0.4775599488132499
fast_mode,x_station_99_lag11,station_99,11,False,,3,0.2916666666666667,0.39280125195618154,0.1111111111111111,0.15742189764099
fast_mode,x_station_313_lag4,station_313,4,False,,4,0.7222222222222222,0.6658841940532081,0.5208333333333334,0.11562572451167914
fast_mode,x_station_490_lag4,station_490,4,False,,5,0.6388888888888888,0.6975743348982786,0.6944444444444444,0.059038343573098395
fast_mode,x_station_1095_lag4,station_1095,4,False,,6,0.9722222222222222,0.8241392801251957,0.7638888888888888,0.04036926247126103
fast_mode,x_station_758_lag5,station_758,5,False,,7,0.5555555555555556,0.9162754303599374,0.1736111111111111,0.03843836337641762
fast_mode,x_station_71_lag8,station_71,8,False,,8,0.8333333333333334,0.9162754303599374,0.4513888888888889,0.038276857647945285
fast_mode,x_station_758_lag7,station_758,7,False,,9,0.5138888888888888,0.9162754303599374,0.14583333333333334,0.03675062851388163
fast_mode,x_station_99_lag12,station_99,12,False,,10,0.2638888888888889,0.9162754303599374,0.125,0.01933223569813945
fast_mode,x_station_67_lag4,station_67,4,False,,11,0.125,0.8020344287949922,0.2638888888888889,0.01821558207268301
fast_mode,x_station_1095_lag5,station_1095,5,False,,12,0.9166666666666666,0.9162754303599374,0.7777777777777778,0.017055004926679416
scientific_catt_mode,x_station_71_lag4,station_71,4,False,,1,0.9027777777777778,0.0,0.3263888888888889,0.6081211419753086
scientific_catt_mode,x_station_490_lag4,station_490,4,False,,2,0.6388888888888888,0.2543035993740219,0.6180555555555556,0.18196488171139316
scientific_catt_mode,x_station_758_lag4,station_758,4,False,,3,0.7083333333333334,0.6447574334898278,0.4930555555555556,0.12756250724511678
scientific_catt_mode,x_station_1095_lag4,station_1095,4,False,,4,0.9722222222222222,0.579225352112676,0.8263888888888888,0.07102195542079641
scientific_catt_mode,x_station_313_lag4,station_313,4,False,,5,0.7222222222222222,0.8004694835680751,0.7222222222222222,0.04002927027183678
scientific_catt_mode,x_station_99_lag11,station_99,11,False,,6,0.2916666666666667,0.8673708920187794,0.2013888888888889,0.030893064793079465
scientific_catt_mode,x_station_67_lag5,station_67,5,False,,7,0.1111111111111111,0.7294600938967136,0.06944444444444445,0.0279724902915435
scientific_catt_mode,x_station_758_lag12,station_758,12,False,,8,0.625,0.9237089201877934,0.4236111111111111,0.02748333170318207
scientific_catt_mode,x_station_71_lag6,station_71,6,False,,9,0.8472222222222222,0.9587245696400626,0.2847222222222222,0.025012878949796175
scientific_catt_mode,x_station_758_lag8,station_758,8,False,,10,0.5972222222222222,0.9246870109546166,0.4861111111111111,0.02311399798827257
scientific_catt_mode,x_station_758_lag5,station_758,5,False,,11,0.5555555555555556,0.9278169014084507,0.4444444444444444,0.022278734133194217
scientific_catt_mode,x_station_71_lag8,station_71,8,False,,12,0.8333333333333334,0.9610719874804382,0.375,0.020275006520605106
