driver,lag,cross_ami,cross_pami,significance,rank,interpretation_tag,pami_to_ami
driver_mediated,2,0.717120782841393,0.03322169181320245,above_band,1,probably_mediated,0.046326494236536654
driver_mediated,3,0.7095039178229658,0.0,above_band,2,probably_mediated,0.0
driver_redundant,1,0.6583649287307178,0.6583649287307178,above_band,3,directional_informative,1.0
driver_mediated,1,0.6270010229450493,0.6270010229450493,above_band,4,causal_confirmed,1.0
driver_mediated,4,0.593032120515308,0.015053494209432472,above_band,5,probably_mediated,0.025383944121529074
driver_redundant,2,0.5784212813834726,0.0016139934304302272,above_band,6,probably_mediated,0.0027903424067832793
driver_direct,4,0.5161219082314039,0.007459217672828089,above_band,7,probably_mediated,0.014452433725180562
driver_direct,5,0.5054571029685802,0.01974883549615747,above_band,8,probably_mediated,0.03907123943885913
driver_mediated,5,0.45444493310971623,0.0,above_band,9,probably_mediated,0.0
driver_redundant,3,0.4470509959488673,0.0,above_band,10,probably_mediated,0.0
driver_direct,3,0.4207971098277019,0.03493432915846384,above_band,11,probably_mediated,0.08301941325777623
driver_redundant,4,0.36533245635261213,0.0,above_band,12,probably_mediated,0.0
