target_name,horizon,ami_corrected,tau,accepted,valid,gaussian_information
white_noise,1,0.0,0.04260003932781391,False,True,0.0037947899242561462
white_noise,2,0.07645117761158089,0.042055787397472254,False,True,0.0008398990353896708
white_noise,3,0.017685086110446193,0.025843857140251107,False,True,0.004910684683913135
white_noise,4,0.0,0.037734193447782796,False,True,0.0001925190298540157
white_noise,5,0.022837233833624907,0.02947341348266975,False,True,0.00024135815368435504
white_noise,6,0.0,0.05508019039857875,False,True,0.006813855400176341
white_noise,7,0.0,0.04158910077993312,False,True,0.0005574098359049235
white_noise,8,0.0005115081702244501,0.034766430890601545,False,True,4.489116157525809e-06
white_noise,9,0.04831863168332644,0.03660292991787539,False,True,0.00025816984140219644
white_noise,10,0.0,0.03565836399484539,False,True,1.45560968177133e-08
white_noise,11,0.0,0.04193241129075674,False,True,0.0014473746347756266
white_noise,12,0.036090797116332674,0.03372902216920349,False,True,0.000220634115842576
white_noise,13,0.0,0.03431766135798127,False,True,0.00040690810546168093
white_noise,14,0.03255931933240377,0.031349283616927265,False,True,0.00030539534684511255
white_noise,15,0.02588313661910555,0.025541598750199245,False,True,0.0015722571871365635
white_noise,16,0.005806564158569824,0.040891422780199534,False,True,0.0005682279315147106
white_noise,17,0.0,0.02844277898781105,False,True,0.003024877529587188
white_noise,18,0.03780950638665034,0.03732872892236508,False,True,0.0021863424780296853
white_noise,19,0.0,0.044941521096347976,False,True,0.00679860904017259
white_noise,20,0.0,0.048357501570015775,False,True,0.004173077387515274
white_noise,21,0.0,0.03776320309637012,False,True,0.0008034560743827866
white_noise,22,0.0,0.037066889816577485,False,True,8.507128505329924e-05
white_noise,23,0.0031732003232499842,0.03972520648677236,False,True,0.0010622755959208891
white_noise,24,0.012754033726979874,0.043931581107713315,False,True,0.0006614588815778272
