target_name,horizon,ami_corrected,tau,accepted,valid
long_memory_candidate,1,0.22389501153245422,0.03392056489002212,True,True
long_memory_candidate,2,0.14017041141625755,0.03552890006242286,True,True
long_memory_candidate,3,0.12261081695374762,0.03911292441810872,True,True
long_memory_candidate,4,0.1106330290690043,0.03198043774961405,True,True
long_memory_candidate,5,0.028661744969270323,0.03526276043577637,False,True
long_memory_candidate,6,0.009964293210286343,0.0387805278186816,False,True
long_memory_candidate,7,0.037962582236967385,0.03585221394874719,False,True
long_memory_candidate,8,0.0,0.0373819514962026,False,True
long_memory_candidate,9,0.027674742672256558,0.03211808432229323,False,True
long_memory_candidate,10,0.01446128073721698,0.03826466276614502,False,True
long_memory_candidate,11,0.0015154204524671488,0.038769465994609564,False,True
long_memory_candidate,12,0.0,0.04601348883174044,False,True
long_memory_candidate,13,0.031727389416109225,0.036600056741746996,False,True
long_memory_candidate,14,0.07299844510521758,0.04060119466875668,False,True
long_memory_candidate,15,0.009535730545593247,0.034983669649056366,False,True
long_memory_candidate,16,0.0,0.03888045291785564,False,True
long_memory_candidate,17,0.0,0.045430784090650975,False,True
long_memory_candidate,18,0.04678233658930133,0.040877579212908265,False,True
